OID_,description,usle_c,usle_p,lucode
54,W,0.004000000189990,1.000000000000000,54
55,W,1.000000000000000,1.000000000000000,55
56,W,0.001000000047497,1.000000000000000,56
57,W,0.400000005960464,1.000000000000000,57
58,W,0.004000000189990,1.000000000000000,58
59,W,1.000000000000000,1.000000000000000,59
60,W,0.004000000189990,1.000000000000000,60
61,W,1.000000000000000,1.000000000000000,61
62,W,1.000000000000000,1.000000000000000,62
63,W,0.001000000047497,1.000000000000000,63
64,W,0.400000005960464,1.000000000000000,64
65,W,0.004000000189990,1.000000000000000,65
66,W,1.000000000000000,1.000000000000000,66
67,W,0.004000000189990,1.000000000000000,67
68,W,0.168142855167389,1.000000000000000,68
69,W,0.168142855167389,1.000000000000000,69
70,W,0.077571429312229,1.000000000000000,70
71,W,0.077571429312229,1.000000000000000,71
72,W,0.077571429312229,1.000000000000000,72
73,W,0.154428571462631,1.000000000000000,73
74,W,0.180428564548492,1.000000000000000,74
75,W,0.180428564548492,1.000000000000000,75
76,W,0.180428564548492,1.000000000000000,76
77,W,0.180428564548492,1.000000000000000,77
78,W,0.180428564548492,1.000000000000000,78
79,W,0.116571426391602,1.000000000000000,79
80,W,0.180428564548492,1.000000000000000,80
81,W,0.068428568542004,1.000000000000000,81
82,W,0.168857142329216,1.000000000000000,82
83,W,0.166714280843735,1.000000000000000,83
84,W,0.166714280843735,1.000000000000000,84
85,W,0.079999998211861,1.000000000000000,85
86,W,0.165999993681908,1.000000000000000,86
87,W,0.165999993681908,1.000000000000000,87
88,W,0.075428567826748,1.000000000000000,88
89,W,0.075428567826748,1.000000000000000,89
90,W,0.152285709977150,1.000000000000000,90
91,W,0.152285709977150,1.000000000000000,91
92,W,0.152285709977150,1.000000000000000,92
93,W,0.154428571462631,1.000000000000000,93
94,W,0.154428571462631,1.000000000000000,94
95,W,0.154428571462631,1.000000000000000,95
96,W,0.178285717964172,1.000000000000000,96
97,W,0.178285717964172,1.000000000000000,97
98,W,0.178285717964172,1.000000000000000,98
99,W,0.151571422815323,1.000000000000000,99
100,W,0.151571422815323,1.000000000000000,100
101,W,0.176142856478691,1.000000000000000,101
102,W,0.133000001311302,1.000000000000000,102
103,W,0.202142864465714,1.000000000000000,103
104,W,0.178285717964172,1.000000000000000,104
105,W,0.066285714507103,1.000000000000000,105
106,W,0.150142863392830,1.000000000000000,106
107,W,0.150142863392830,1.000000000000000,107
108,W,0.150142863392830,1.000000000000000,108
109,S,0.158999994397163,1.000000000000000,109
110,M,0.173999994993210,1.000000000000000,110
111,M,0.173999994993210,1.000000000000000,111
112,M,0.173999994993210,1.000000000000000,112
113,M,0.173999994993210,1.000000000000000,113
114,M,0.173999994993210,1.000000000000000,114
115,M,0.173999994993210,1.000000000000000,115
116,M,0.177428573369980,1.000000000000000,116
117,S,0.001000000047497,1.000000000000000,117
118,S,0.400000005960464,1.000000000000000,118
119,S,0.001000000047497,1.000000000000000,119
120,S,0.400000005960464,1.000000000000000,120
121,S,0.004000000189990,1.000000000000000,121
122,S,0.204285711050034,1.000000000000000,122
123,S,0.113714285194874,1.000000000000000,123
124,S,0.113714285194874,1.000000000000000,124
125,S,0.228142857551575,1.000000000000000,125
126,S,0.204285711050034,1.000000000000000,126
127,S,0.204285711050034,1.000000000000000,127
128,S,0.204285711050034,1.000000000000000,128
129,S,0.204285711050034,1.000000000000000,129
130,S,0.204285711050034,1.000000000000000,130
131,S,0.204285711050034,1.000000000000000,131
132,S,0.202142864465714,1.000000000000000,132
133,S,0.178285717964172,1.000000000000000,133
134,S,0.178285717964172,1.000000000000000,134
135,S,0.189857140183449,1.000000000000000,135
136,S,0.189857140183449,1.000000000000000,136
137,S,0.189857140183449,1.000000000000000,137
138,S,0.189857140183449,1.000000000000000,138
139,S,0.077857144176960,1.000000000000000,139
140,S,0.202142864465714,1.000000000000000,140
141,S,0.176142856478691,1.000000000000000,141
142,S,0.178285717964172,1.000000000000000,142
143,S,0.228142857551575,1.000000000000000,143
144,S,0.178285717964172,1.000000000000000,144
145,S,0.180714279413223,1.000000000000000,145
146,S,0.180714279413223,1.000000000000000,146
147,S,0.204285711050034,1.000000000000000,147
148,S,0.204285711050034,1.000000000000000,148
149,S,0.204285711050034,1.000000000000000,149
150,S,0.200857147574425,1.000000000000000,150
151,S,0.200857147574425,1.000000000000000,151
152,S,0.200857147574425,1.000000000000000,152
153,S,0.200857147574425,1.000000000000000,153
154,S,0.200857147574425,1.000000000000000,154
155,S,0.200857147574425,1.000000000000000,155
156,S,0.400000005960464,1.000000000000000,156
157,S,0.001000000047497,1.000000000000000,157
158,S,0.400000005960464,1.000000000000000,158
159,S,0.400000005960464,1.000000000000000,159
160,S,0.001000000047497,1.000000000000000,160
161,S,0.400000005960464,1.000000000000000,161
162,S,0.004000000189990,1.000000000000000,162
163,S,0.178285717964172,1.000000000000000,163
164,S,0.178285717964172,1.000000000000000,164
165,S,0.228142857551575,1.000000000000000,165
166,S,0.133000001311302,1.000000000000000,166
167,S,0.133000001311302,1.000000000000000,167
168,S,0.176142856478691,1.000000000000000,168
169,S,0.176142856478691,1.000000000000000,169
170,S,0.176142856478691,1.000000000000000,170
171,S,0.180428564548492,1.000000000000000,171
172,S,0.180428564548492,1.000000000000000,172
173,S,0.178285717964172,1.000000000000000,173
